src,tgt,wt
sub,sandwich,5
sub,underwater,2
sub,substitute,2
sub,submarine,3
sub,below,3
children,play,5
children,school,4
children,family,5
children,kids,1
anthem,national,5
anthem,song,5
anthem,patriotic,5
yank,pull,5
yank,tug,5
yank,jerk,5
gemini,constellation,5
gemini,zodiac,5
gemini,twins,5
fiber,optic,5
fiber,diet,5
fiber,cable,4
fiber,thread,1
errant,wandering,5
errant,mistake,5
errant,knight,5
conspiracy,theory,5
conspiracy,secret,5
conspiracy,government,4
conspiracy,plot,1
woodwind,flute,5
woodwind,clarinet,5
woodwind,oboe,5
cell,phone,5
cell,biology,5
cell,prison,5
toot,horn,5
toot,sound,5
toot,whistle,1
toot,beep,4
writing,pen,5
writing,paper,5
writing,words,5
required,necessary,5
required,mandatory,5
required,needed,5
bunny,rabbit,5
bunny,fluffy,5
bunny,easter,4
bunny,ears,1
showers,rain,5
showers,bathroom,5
showers,water,5
monkeys,bananas,5
monkeys,jungle,5
monkeys,playful,5
aries,ram,5
aries,zodiac,5
aries,fire,5
approve,accept,5
approve,agree,5
approve,confirm,4
approve,permit,1
candidate,election,5
candidate,job,5
candidate,interview,5
enforcement,law,5
enforcement,police,5
enforcement,rules,5
