cue,trial,responses,raw_text
sub,0,sandwich|underwater|substitute,"sandwich, underwater, substitute"
sub,1,submarine|sandwich|below,"submarine, sandwich, below"
sub,2,sandwich|submarine|below,"sandwich, submarine, below"
sub,3,sandwich|underwater|substitute,"sandwich, underwater, substitute"
sub,4,submarine|sandwich|below,"submarine, sandwich, below"
children,0,play|school|family,"play, school, family"
children,1,kids|play|family,"kids, play, family"
children,2,play|school|family,"play, school, family"
children,3,play|school|family,"play, school, family"
children,4,play|school|family,"play, school, family"
anthem,0,national|song|patriotic,"national, song, patriotic"
anthem,1,national|song|patriotic,"national, song, patriotic"
anthem,2,national|song|patriotic,"national, song, patriotic"
anthem,3,national|song|patriotic,"national, song, patriotic"
anthem,4,national|song|patriotic,"national, song, patriotic"
yank,0,pull|tug|jerk,"pull, tug, jerk"
yank,1,pull|tug|jerk,"pull, tug, jerk"
yank,2,pull|tug|jerk,"pull, tug, jerk"
yank,3,pull|tug|jerk,"pull, tug, jerk"
yank,4,pull|tug|jerk,"pull, tug, jerk"
gemini,0,constellation|zodiac|twins,"constellation, zodiac, twins"
gemini,1,constellation|zodiac|twins,"constellation, zodiac, twins"
gemini,2,constellation|zodiac|twins,"constellation, zodiac, twins"
gemini,3,constellation|zodiac|twins,"constellation, zodiac, twins"
gemini,4,constellation|zodiac|twins,"constellation, zodiac, twins"
fiber,0,optic|diet|cable,"optic, diet, cable"
fiber,1,optic|diet|cable,"optic, diet, cable"
fiber,2,optic|diet|thread,"optic, diet, thread"
fiber,3,optic|diet|cable,"optic, diet, cable"
fiber,4,optic|diet|cable,"optic, diet, cable"
errant,0,wandering|mistake|knight,"wandering, mistake, knight"
errant,1,wandering|mistake|knight,"wandering, mistake, knight"
errant,2,wandering|mistake|knight,"wandering, mistake, knight"
errant,3,wandering|mistake|knight,"wandering, mistake, knight"
errant,4,wandering|mistake|knight,"wandering, mistake, knight"
conspiracy,0,theory|secret|government,"theory, secret, government"
conspiracy,1,theory|secret|plot,"theory, secret, plot"
conspiracy,2,theory|secret|government,"theory, secret, government"
conspiracy,3,theory|secret|government,"theory, secret, government"
conspiracy,4,theory|secret|government,"theory, secret, government"
woodwind,0,flute|clarinet|oboe,"flute, clarinet, oboe"
woodwind,1,flute|clarinet|oboe,"flute, clarinet, oboe"
woodwind,2,flute|clarinet|oboe,"flute, clarinet, oboe"
woodwind,3,flute|clarinet|oboe,"flute, clarinet, oboe"
woodwind,4,flute|clarinet|oboe,"flute, clarinet, oboe"
cell,0,phone|biology|prison,"phone, biology, prison"
cell,1,phone|biology|prison,"phone, biology, prison"
cell,2,phone|biology|prison,"phone, biology, prison"
cell,3,phone|biology|prison,"phone, biology, prison"
cell,4,phone|biology|prison,"phone, biology, prison"
toot,0,horn|sound|whistle,"horn, sound, whistle"
toot,1,horn|sound|beep,"horn, sound, beep"
toot,2,horn|sound|beep,"horn, sound, beep"
toot,3,horn|sound|beep,"horn, sound, beep"
toot,4,horn|sound|beep,"horn, sound, beep"
writing,0,pen|paper|words,"pen, paper, words"
writing,1,pen|paper|words,"pen, paper, words"
writing,2,pen|paper|words,"pen, paper, words"
writing,3,pen|paper|words,"pen, paper, words"
writing,4,pen|paper|words,"pen, paper, words"
required,0,necessary|mandatory|needed,"necessary, mandatory, needed"
required,1,necessary|mandatory|needed,"necessary, mandatory, needed"
required,2,necessary|mandatory|needed,"necessary, mandatory, needed"
required,3,necessary|mandatory|needed,"necessary, mandatory, needed"
required,4,necessary|mandatory|needed,"necessary, mandatory, needed"
bunny,0,rabbit|fluffy|easter,"rabbit, fluffy, Easter"
bunny,1,rabbit|fluffy|easter,"rabbit, fluffy, Easter"
bunny,2,rabbit|fluffy|easter,"rabbit, fluffy, Easter"
bunny,3,rabbit|fluffy|ears,"rabbit, fluffy, ears"
bunny,4,rabbit|fluffy|easter,"rabbit, fluffy, Easter"
showers,0,rain|bathroom|water,"rain, bathroom, water"
showers,1,rain|bathroom|water,"rain, bathroom, water"
showers,2,rain|bathroom|water,"rain, bathroom, water"
showers,3,rain|bathroom|water,"rain, bathroom, water"
showers,4,rain|bathroom|water,"rain, bathroom, water"
monkeys,0,bananas|jungle|playful,"bananas, jungle, playful"
monkeys,1,bananas|jungle|playful,"bananas, jungle, playful"
monkeys,2,bananas|jungle|playful,"bananas, jungle, playful"
monkeys,3,bananas|jungle|playful,"bananas, jungle, playful"
monkeys,4,bananas|jungle|playful,"bananas, jungle, playful"
aries,0,ram|zodiac|fire,"ram, zodiac, fire"
aries,1,zodiac|ram|fire,"zodiac, ram, fire"
aries,2,ram|zodiac|fire,"ram, zodiac, fire"
aries,3,ram|zodiac|fire,"ram, zodiac, fire"
aries,4,zodiac|ram|fire,"zodiac, ram, fire"
approve,0,accept|agree|confirm,"accept, agree, confirm"
approve,1,accept|confirm|agree,"accept, confirm, agree"
approve,2,accept|agree|permit,"accept, agree, permit"
approve,3,accept|agree|confirm,"accept, agree, confirm"
approve,4,accept|agree|confirm,"accept, agree, confirm"
candidate,0,election|job|interview,"election, job, interview"
candidate,1,election|job|interview,"election, job, interview"
candidate,2,election|job|interview,"election, job, interview"
candidate,3,election|job|interview,"election, job, interview"
candidate,4,election|job|interview,"election, job, interview"
enforcement,0,law|police|rules,"law, police, rules"
enforcement,1,law|police|rules,"law, police, rules"
enforcement,2,law|police|rules,"law, police, rules"
enforcement,3,law|police|rules,"law, police, rules"
enforcement,4,law|police|rules,"law, police, rules"
