cue,trial,raw_text,parsed,ok
browser,0,"internet, chrome, web",internet|chrome|web,True
browser,1,"internet, chrome, web",internet|chrome|web,True
browser,2,"internet, chrome, web",internet|chrome|web,True
browser,3,"internet, chrome, web",internet|chrome|web,True
browser,4,"internet, chrome, web",internet|chrome|web,True
browser,5,"internet, chrome, web",internet|chrome|web,True
browser,6,"internet, chrome, web",internet|chrome|web,True
browser,7,"internet, chrome, web",internet|chrome|web,True
browser,8,"internet, chrome, web",internet|chrome|web,True
browser,9,"internet, chrome, web",internet|chrome|web,True
browser,10,"internet, chrome, web",internet|chrome|web,True
browser,11,"internet, chrome, web",internet|chrome|web,True
browser,12,"internet, chrome, web",internet|chrome|web,True
browser,13,"internet, chrome, web",internet|chrome|web,True
browser,14,"internet, chrome, web",internet|chrome|web,True
browser,15,"internet, chrome, web",internet|chrome|web,True
browser,16,"internet, chrome, web",internet|chrome|web,True
browser,17,"internet, chrome, web",internet|chrome|web,True
browser,18,"internet, chrome, web",internet|chrome|web,True
browser,19,"internet, chrome, web",internet|chrome|web,True
browser,20,"internet, chrome, web",internet|chrome|web,True
browser,21,"internet, chrome, web",internet|chrome|web,True
browser,22,"internet, chrome, web",internet|chrome|web,True
browser,23,"internet, chrome, web",internet|chrome|web,True
browser,24,"internet, chrome, web",internet|chrome|web,True
browser,25,"internet, chrome, web",internet|chrome|web,True
browser,26,"internet, chrome, web",internet|chrome|web,True
browser,27,"internet, chrome, web",internet|chrome|web,True
browser,28,"internet, chrome, tabs",internet|chrome|tabs,True
browser,29,"internet, chrome, web",internet|chrome|web,True
browser,30,"internet, chrome, web",internet|chrome|web,True
browser,31,"internet, chrome, web",internet|chrome|web,True
browser,32,"internet, chrome, web",internet|chrome|web,True
browser,33,"internet, chrome, web",internet|chrome|web,True
browser,34,"internet, chrome, web",internet|chrome|web,True
browser,35,"internet, chrome, web",internet|chrome|web,True
browser,36,"internet, chrome, web",internet|chrome|web,True
browser,37,"internet, chrome, tabs",internet|chrome|tabs,True
browser,38,"internet, chrome, web",internet|chrome|web,True
browser,39,"internet, tab, chrome",internet|tab|chrome,True
browser,40,"internet, chrome, web",internet|chrome|web,True
browser,41,"internet, chrome, tabs",internet|chrome|tabs,True
browser,42,"internet, chrome, web",internet|chrome|web,True
browser,43,"internet, chrome, web",internet|chrome|web,True
browser,44,"internet, chrome, web",internet|chrome|web,True
browser,45,"internet, chrome, web",internet|chrome|web,True
browser,46,"internet, chrome, web",internet|chrome|web,True
browser,47,"internet, chrome, web",internet|chrome|web,True
browser,48,"internet, chrome, web",internet|chrome|web,True
browser,49,"internet, chrome, web",internet|chrome|web,True
browser,50,"internet, chrome, web",internet|chrome|web,True
browser,51,"internet, chrome, web",internet|chrome|web,True
browser,52,"internet, chrome, web",internet|chrome|web,True
browser,53,"internet, chrome, web",internet|chrome|web,True
browser,54,"internet, chrome, web",internet|chrome|web,True
browser,55,"internet, chrome, web",internet|chrome|web,True
browser,56,"internet, chrome, web",internet|chrome|web,True
browser,57,"internet, chrome, web",internet|chrome|web,True
browser,58,"internet, chrome, web",internet|chrome|web,True
browser,59,"internet, chrome, web",internet|chrome|web,True
browser,60,"internet, chrome, web",internet|chrome|web,True
browser,61,"internet, chrome, web",internet|chrome|web,True
browser,62,"internet, chrome, web",internet|chrome|web,True
browser,63,"internet, chrome, web",internet|chrome|web,True
browser,64,"internet, chrome, web",internet|chrome|web,True
browser,65,"internet, chrome, web",internet|chrome|web,True
browser,66,"internet, chrome, web",internet|chrome|web,True
browser,67,"internet, chrome, web",internet|chrome|web,True
browser,68,"internet, chrome, web",internet|chrome|web,True
browser,69,"internet, chrome, web",internet|chrome|web,True
browser,70,"internet, chrome, web",internet|chrome|web,True
browser,71,"internet, chrome, web",internet|chrome|web,True
browser,72,"internet, chrome, web",internet|chrome|web,True
browser,73,"internet, chrome, web",internet|chrome|web,True
browser,74,"internet, chrome, web",internet|chrome|web,True
browser,75,"internet, chrome, web",internet|chrome|web,True
browser,76,"internet, chrome, tab",internet|chrome|tab,True
browser,77,"internet, chrome, web",internet|chrome|web,True
browser,78,"internet, chrome, web",internet|chrome|web,True
browser,79,"internet, chrome, web",internet|chrome|web,True
browser,80,"internet, chrome, web",internet|chrome|web,True
browser,81,"internet, chrome, web",internet|chrome|web,True
browser,82,"internet, chrome, web",internet|chrome|web,True
browser,83,"internet, chrome, web",internet|chrome|web,True
browser,84,"internet, chrome, web",internet|chrome|web,True
browser,85,"internet, chrome, web",internet|chrome|web,True
browser,86,"internet, chrome, web",internet|chrome|web,True
browser,87,"internet, chrome, web",internet|chrome|web,True
browser,88,"internet, chrome, web",internet|chrome|web,True
browser,89,"internet, chrome, web",internet|chrome|web,True
browser,90,"internet, chrome, tab",internet|chrome|tab,True
browser,91,"internet, chrome, web",internet|chrome|web,True
browser,92,"internet, chrome, web",internet|chrome|web,True
browser,93,"internet, chrome, web",internet|chrome|web,True
browser,94,"internet, chrome, web",internet|chrome|web,True
browser,95,"internet, chrome, web",internet|chrome|web,True
browser,96,"internet, chrome, web",internet|chrome|web,True
browser,97,"internet, chrome, web",internet|chrome|web,True
browser,98,"internet, chrome, web",internet|chrome|web,True
browser,99,"internet, chrome, web",internet|chrome|web,True
naturally,0,"organic, instinct, earth",organic|instinct|earth,True
naturally,1,"organic, effortless, nature",organic|effortless|nature,True
naturally,2,"organic, wild, pure",organic|wild|pure,True
naturally,3,"organic, effortless, wild",organic|effortless|wild,True
naturally,4,"organic, effortless, wild",organic|effortless|wild,True
naturally,5,"organic, instinct, earth",organic|instinct|earth,True
naturally,6,"organic, wild, earth",organic|wild|earth,True
naturally,7,"organic, effortless, wild",organic|effortless|wild,True
naturally,8,"organic, effortless, wild",organic|effortless|wild,True
naturally,9,"organic, effortless, wild",organic|effortless|wild,True
naturally,10,"organic, effortless, wild",organic|effortless|wild,True
naturally,11,"organic, earth, pure",organic|earth|pure,True
naturally,12,"organic, effortless, wild",organic|effortless|wild,True
naturally,13,"organic, instinct, earth",organic|instinct|earth,True
naturally,14,"organic, effortless, earth",organic|effortless|earth,True
naturally,15,"organic, effortless, wild",organic|effortless|wild,True
naturally,16,"organic, freely, instinct",organic|freely|instinct,True
naturally,17,"organic, instinct, earth",organic|instinct|earth,True
naturally,18,"organic, effortless, wild",organic|effortless|wild,True
naturally,19,"organic, earth, pure",organic|earth|pure,True
naturally,20,"organic, effortless, wild",organic|effortless|wild,True
naturally,21,"organic, earth, pure",organic|earth|pure,True
naturally,22,"organic, wild, effortless",organic|wild|effortless,True
naturally,23,"organic, instinct, earth",organic|instinct|earth,True
naturally,24,"organic, instinct, earth",organic|instinct|earth,True
naturally,25,"organic, instinct, earth",organic|instinct|earth,True
naturally,26,"organic, effortless, born",organic|effortless|born,True
naturally,27,"organic, wild, earth",organic|wild|earth,True
naturally,28,"organic, earth, pure",organic|earth|pure,True
naturally,29,"organic, effortless, green",organic|effortless|green,True
naturally,30,"organic, instinct, flow",organic|instinct|flow,True
naturally,31,"organic, effortless, earth",organic|effortless|earth,True
naturally,32,"organic, effortless, wild",organic|effortless|wild,True
naturally,33,"organic, instinct, earth",organic|instinct|earth,True
naturally,34,"organic, earth, fresh",organic|earth|fresh,True
naturally,35,"organic, effortless, nature",organic|effortless|nature,True
naturally,36,"organic, effortless, earth",organic|effortless|earth,True
naturally,37,"organic, wild, effortless",organic|wild|effortless,True
naturally,38,"organic, effortless, earth",organic|effortless|earth,True
naturally,39,"organic, effortless, pure",organic|effortless|pure,True
naturally,40,"organic, wild, pure",organic|wild|pure,True
naturally,41,"organic, flow, wild",organic|flow|wild,True
naturally,42,"organic, effortless, wild",organic|effortless|wild,True
naturally,43,"organic, effortless, nature",organic|effortless|nature,True
naturally,44,"organic, effortless, earth",organic|effortless|earth,True
naturally,45,"organic, flow, earth",organic|flow|earth,True
naturally,46,"organic, earth, flow",organic|earth|flow,True
naturally,47,"organic, wild, pure",organic|wild|pure,True
naturally,48,"organic, instinct, earth",organic|instinct|earth,True
naturally,49,"organic, earth, pure",organic|earth|pure,True
naturally,50,"organic, effortless, wild",organic|effortless|wild,True
naturally,51,"organic, effortless, wild",organic|effortless|wild,True
naturally,52,"organic, effortless, wild",organic|effortless|wild,True
naturally,53,"organic, earth, pure",organic|earth|pure,True
naturally,54,"organic, effortless, earth",organic|effortless|earth,True
naturally,55,"organic, growth, wild",organic|growth|wild,True
naturally,56,"organic, effortless, earth",organic|effortless|earth,True
naturally,57,"organic, effortless, pure",organic|effortless|pure,True
naturally,58,"organic, effortless, wild",organic|effortless|wild,True
naturally,59,"organic, effortless, wild",organic|effortless|wild,True
