src,tgt,wt
a,additionally,3
a,also,50
a,an,26
a,equally,11
a,one,49
a,furthermore,35
a,too,50
a,single,23
a,addition,3
a,lone,11
a,unit,11
a,some,70
a,alphabet,20
a,while,55
a,vitamin,11
additionally,also,100
additionally,furthermore,100
additionally,as well,100
additionally,besides,91
additionally,both,60
also,furthermore,80
also,too,100
also,as well,100
also,additional,4
also,even,74
also,besides,64
also,both,75
an,one,99
an,single,20
an,sole,20
an,singular,55
equally,both,19
one,single,45
one,two,55
one,unity,8
one,unique,37
one,three,55
one,alone,5
one,individual,36
one,four,55
one,first,4
one,some,55
one,each,5
one,either,4
one,u,7
one,singular,2
a few,couple,25
a few,several,96
a few,some,76
a few,handful,71
a few,multiple,4
a few,few,24
a few,many,4
couple,marriage,85
couple,two,99
couple,together,16
couple,relationship,95
couple,date,4
couple,duo,84
couple,pair,81
couple,elope,20
couple,honeymoon,79
couple,lover,50
couple,mate,20
couple,matrimony,15
couple,tandem,4
couple,tango,35
several,many,100
several,multiple,100
several,diverse,56
several,numerous,25
several,quantity,15
several,abundance,4
several,three,4
some,any,100
some,certain,39
some,little,4
some,particular,28
some,a little,20
some,partially,24
some,whatever,55
a little,small,80
a little,tiny,95
a little,little,80
a little,few,4
a little,miniature,4
a little,short,15
a little,slightly,79
small,diminutive,40
small,little,100
small,tiny,100
small,petite,100
small,miniature,15
small,compact,100
small,short,23
small,appetizer,4
small,particle,24
small,atomic,20
small,cub,4
small,bit,66
small,crumb,29
small,bug,12
small,buggy,15
small,size,20
small,bungalow,85
small,cottage,84
small,cabin,5
small,penny,43
small,centimeter,16
small,dimple,59
small,chickadee,56
small,cramped,100
small,crouch,20
small,dainty,19
small,dime,28
small,dwarf,70
small,low,40
small,elf,7
small,weasel,15
small,few,45
small,finch,4
small,finite,57
small,limited,15
small,speck,4
small,pebble,72
small,gremlin,32
small,hobbit,4
small,puppy,2
small,minute,19
small,inch,70
small,trivial,4
small,isle,4
small,kitten,28
small,least,100
small,minimal,18
small,minimum,74
small,minor,86
small,meager,16
small,micro,100
small,microscope,4
small,microscopic,80
small,midget,100
small,mince,20
small,mini,100
small,minimize,4
small,minuscule,65
small,misfit,20
small,mite,96
small,portable,20
small,morsel,78
small,narrow,4
small,nip,84
small,ounce,4
small,paperclip,4
small,pea,11
small,petty,76
small,quantum,55
small,piglet,55
small,pinky,100
small,pixie,81
small,pocket,20
small,pony,25
small,pouch,20
small,puny,97
small,pup,5
small,quail,4
small,sardine,55
small,shorter,5
small,slight,100
small,slightly,4
small,sliver,4
small,stickleback,95
small,stunted,4
small,tad,80
small,teeny,100
small,tit,38
small,toddler,55
small,toothpick,24
small,tot,96
small,wee,100
tiny,little,21
tiny,miniature,100
tiny,petite,79
tiny,particle,15
tiny,microbe,39
tiny,shrimp,84
tiny,dwarf,17
tiny,elf,2
tiny,fleck,15
tiny,speck,25
tiny,minute,51
tiny,hummingbird,5
tiny,minor,2
tiny,micro,64
tiny,microscope,56
tiny,microscopic,45
tiny,midget,55
tiny,mini,25
tiny,minuscule,85
tiny,mite,6
tiny,morsel,20
tiny,mote,99
tiny,quantum,20
tiny,pixie,19
tiny,puny,3
tiny,smallest,16
tiny,squeak,2
tiny,teeny,80
tiny,wee,85
a lot,abundance,3
a lot,many,51
a lot,much,71
a lot,plenty,45
a lot,plentiful,15
a lot,numerous,24
a lot,quantity,40
a lot,excess,2
abundance,plentiful,55
abundance,wealth,45
abundance,prosperity,65
abundance,overflow,100
abundance,plenty,21
abundance,profusion,35
abundance,surplus,98
abundance,many,4
abundance,much,4
abundance,load,5
abundance,bounty,2
abundance,cornucopia,100
abundance,excess,20
abundance,too much,16
abundance,heap,41
abundance,lot,18
abundance,multitude,65
abundance,oodles,24
abundance,plethora,85
abundance,richness,45
many,few,4
many,numerous,100
many,abundant,21
many,crowd,16
many,multiple,96
many,plentiful,5
many,plenty,55
many,variety,20
many,multitude,55
many,much,15
many,load,10
many,million,32
many,bunch,59
many,heap,29
many,horde,15
many,hundred,20
many,lot,58
many,most,55
many,oodles,60
many,plural,84
many,thousand,91
much,abundant,80
much,quantity,19
much,excessive,76
much,plentiful,60
much,more,15
much,large,4
much,extreme,4
much,very,99
much,extremely,24
much,super,4
plenty,abundant,24
plenty,ample,96
plenty,sufficient,76
plenty,sufficiency,4
plenty,surplus,16
plenty,copious,4
plenty,profusion,4
plenty,bountiful,55
plenty,load,10
plenty,cornucopia,59
plenty,lot,7
plenty,oodles,5
aardvark,animal,56
aardvark,anteater,20
aardvark,mammal,100
aardvark,africa,94
aardvark,burrow,8
aardvark,digging,17
aardvark,termite,4
animal,beast,100
animal,cat,6
animal,creature,100
animal,lion,57
animal,pet,100
animal,wildlife,85
animal,zoo,100
animal,dog,79
animal,fauna,21
animal,nature,79
animal,wild,95
animal,farm,2
animal,mammal,96
animal,circus,56
animal,reptile,3
animal,rainforest,18
animal,bear,62
animal,deer,100
animal,antler,37
animal,horn,90
animal,ape,3
animal,chimpanzee,16
animal,monkey,63
animal,donkey,96
animal,kangaroo,16
animal,baboon,29
animal,badger,99
animal,bandicoot,95
animal,barking,59
animal,bat,20
animal,beak,4
animal,bird,29
animal,cub,59
animal,beaver,19
animal,cow,85
animal,meat,80
animal,bison,65
animal,buffalo,72
animal,herd,81
animal,blue jay,4
animal,boar,21
animal,feeding,3
animal,breed,5
animal,specie,25
animal,breeding,71
animal,horse,27
animal,bull,28
animal,livestock,41
animal,canine,8
animal,bunny,2
animal,rabbit,39
animal,burrow,100
animal,tail,90
animal,cage,85
animal,calf,4
animal,camel,75
animal,reindeer,83
animal,carnivore,55
animal,carrion,8
animal,feline,17
animal,chameleon,4
animal,chirp,20
animal,claw,94
animal,seal,95
animal,cougar,41
animal,coyote,55
animal,critter,100
animal,zebra,91
animal,den,91
animal,stray,94
animal,dingo,21
animal,doe,45
animal,sheep,56
animal,domestic,4
animal,duck,11
animal,eater,56
animal,echidna,80
animal,elephant,16
animal,elk,24
animal,migration,5
animal,fang,4
animal,fawn,4
animal,feed,2
animal,feral,25
animal,tiger,100
animal,ferret,70
animal,weasel,100
animal,fox,85
animal,fur,96
animal,furry,25
animal,giraffe,91
animal,goat,90
animal,jungle,55
animal,graze,56
animal,groundhog,39
animal,growl,98
animal,guinea,15
animal,guinea pig,59
animal,habitat,3
animal,hairless,4
animal,hare,25
animal,hunt,4
animal,hedgehog,57
animal,herbivore,99
animal,hippo,17
animal,hippopotamus,21
animal,hog,20
animal,hoof,59
animal,horsefly,56
animal,wolf,75
animal,prey,60
animal,hyena,74
animal,tusk,54
animal,jaguar,96
animal,leopard,10
animal,mane,59
animal,mare,91
animal,mink,85
animal,mole,99
animal,mongoose,100
animal,moo,4
animal,moose,100
animal,mule,81
animal,musk,60
animal,musky,4
animal,spay,24
animal,nocturnal,5
animal,snout,96
animal,oink,15
animal,opossum,96
animal,otter,99
animal,ox,90
animal,paddock,4
animal,paw,100
animal,pelt,6
animal,platypus,55
animal,polar bear,15
animal,porcupine,84
animal,puma,29
animal,quail,4
animal,rabies,96
animal,raccoon,96
animal,rhino,96
animal,rhinoceros,96
animal,roadkill,95
animal,seahorse,55
animal,serpent,2
animal,skunk,100
animal,stallion,55
animal,stuffed,39
animal,stuffer,4
animal,tame,84
animal,tortoise,79
animal,trapper,91
animal,vet,85
animal,veterinarian,100
animal,walrus,59
animal,wombat,59
animal,yak,85
anteater,bear,20
anteater,mammal,80
anteater,termite,95
anteater,nose,4
anteater,zoo,24
anteater,snout,4
anteater,claw,15
anteater,eats,55
mammal,lion,15
mammal,biology,3
mammal,elephant,46
mammal,human,2
mammal,specie,73
mammal,wildlife,6
mammal,fur,10
mammal,science,3
mammal,whale,100
mammal,vertebrate,71
mammal,roar,4
mammal,bear,5
mammal,antelope,36
mammal,baboon,55
mammal,marsupial,55
mammal,bison,4
mammal,caribou,2
mammal,dolphin,99
mammal,echidna,100
mammal,ferret,20
mammal,fox,55
mammal,hare,15
mammal,hedgehog,43
mammal,hippo,79
mammal,hippopotamus,63
mammal,opossum,17
mammal,platypus,24
mammal,polar bear,60
mammal,porpoise,100
mammal,possum,4
mammal,rhino,24
mammal,rhinoceros,4
mammal,wombat,15
mammal,yak,75
ab,core,85
ab,exercise,15
ab,muscle,99
ab,stomach,2
ab,fitness,99
ab,six pack,100
core,center,100
core,heart,83
core,essence,100
core,nucleus,45
core,essential,43
core,basic,4
core,torso,24
core,centered,4
core,central,60
core,intrinsic,2
core,inner,36
core,integral,84
core,pilate,4
exercise,workout,100
exercise,activity,99
exercise,gym,85
exercise,practice,100
exercise,train,35
exercise,training,4
exercise,fitness,41
exercise,gymnastics,3
exercise,aerobics,100
exercise,stroll,4
exercise,sweat,56
exercise,athlete,4
exercise,athletic,94
exercise,fit,79
exercise,sport,76
exercise,athletics,60
exercise,hike,4
exercise,weight,7
exercise,balanced,20
exercise,beating,20
exercise,physical,96
exercise,walking,41
exercise,trampoline,75
exercise,buff,4
exercise,calorie,9
exercise,cycling,100
exercise,run,26
exercise,healthy,60
exercise,flex,20
exercise,track,3
exercise,stroke,6
exercise,hiking,74
exercise,jog,100
exercise,jogger,44
exercise,jogging,100
exercise,running,63
exercise,lifting,80
exercise,marathon,15
exercise,yoga,81
exercise,skip,15
exercise,walker,56
exercise,physically,9
exercise,pilate,100
exercise,swimming,55
exercise,racquetball,59
exercise,ran,80
exercise,rowing,19
exercise,six pack,63
exercise,skipping,84
exercise,strenuous,4
exercise,sweating,57
exercise,sweatpants,75
exercise,treadmill,100
exercise,trot,5
exercise,work out,100
exercise,yogi,36
muscle,flex,54
muscle,gym,43
muscle,strength,57
muscle,tissue,6
muscle,tone,47
muscle,flexed,4
muscle,strong,9
muscle,bodybuilding,2
muscle,body,39
muscle,ripped,4
muscle,arm,10
muscle,nerve,2
muscle,beefy,4
muscle,biceps,100
muscle,flesh,55
muscle,body part,55
muscle,bodybuilder,94
muscle,bodyguard,4
muscle,chest,70
muscle,buff,24
muscle,cramp,40
muscle,strengthen,36
muscle,testosterone,20
muscle,hunk,55
muscle,lifting,57
muscle,meaty,20
muscle,six pack,17
muscle,spastic,15
muscle,steroid,99
muscle,tendon,100
muscle,thigh,99
muscle,twitch,5
stomach,acid,55
stomach,gut,33
stomach,hunger,55
stomach,pain,15
stomach,digestion,75
stomach,organ,75
stomach,digestive,85
stomach,intestine,39
stomach,nausea,35
stomach,food,55
stomach,growl,15
stomach,vomit,70
stomach,burp,100
stomach,belly,100
stomach,belly button,2
stomach,bloated,4
stomach,bowel,31
stomach,diarrhea,100
stomach,digest,2
stomach,indigestion,25
stomach,tummy,100
stomach,ulcer,84
abacus,calculator,100
abacus,ancient,8
abacus,counting,91
abacus,math,100
calculator,math,100
calculator,compute,80
calculator,device,79
calculator,number,4
calculator,digit,20
calculator,electronics,15
abandon,desert,100
