src,tgt,wt
a,airplane,3
a,also,2
a,an,4
a,apple,56
a,as,6
a,association,3
a,assume,2
a,banana,9
a,blue,2
a,fruit,3
a,is,4
a,table,2
a,aspect,2
a,aardvark,2
a,afternoon,2
a,ant,3
a,apricot,13
a,art,6
a,artichoke,5
a,assemble,5
a,assistant,4
a,orange,6
a,strawberry,4
a,chair,2
a,at,2
a,antique,4
a,tree,3
a,healthy,2
a,by,4
a,simile,46
a,as well,3
a,such,7
airplane,air,11
airplane,aircraft,25
airplane,flight,66
airplane,fly,28
airplane,flying,62
airplane,jet,26
airplane,plane,25
airplane,sky,11
airplane,transportation,7
airplane,travel,73
airplane,airport,10
airplane,aviation,43
airplane,wing,51
airplane,altitude,2
airplane,adventure,10
airplane,bird,5
airplane,above,3
airplane,traveling,2
airplane,jump,5
airplane,span,11
airplane,air force,3
airplane,fighter,3
airplane,stuffy,3
airplane,airline,2
airplane,arrival,6
airplane,transport,4
airplane,airship,22
airplane,zeppelin,11
airplane,free,3
airplane,spacious,3
airplane,left wing,39
airplane,flap,22
airplane,arrive,2
airplane,arriving,5
airplane,rotor,5
airplane,float,6
airplane,low,3
airplane,whistle,2
airplane,birdie,2
airplane,blow up,2
airplane,boarding school,4
airplane,bomber,17
airplane,carrier,32
airplane,drone,2
airplane,runway,23
airplane,throttle,8
airplane,pilot,50
airplane,cockpit,4
airplane,tube,2
airplane,depart,3
airplane,departure,12
airplane,landing,3
airplane,elevated,13
airplane,toss,3
airplane,ticket,10
airplane,first class,7
airplane,flew,32
airplane,flight attendant,39
airplane,stewardess,8
airplane,flighty,21
airplane,lightweight,30
airplane,weightless,9
airplane,flyer,23
airplane,take off,24
airplane,gulp,3
airplane,grounded,16
airplane,gull,6
airplane,hijack,3
airplane,hovercraft,2
airplane,lightening,2
airplane,jumbo,2
airplane,lax,6
airplane,propeller,44
airplane,levitate,4
airplane,lofty,2
airplane,overhead,3
airplane,passenger,9
airplane,propel,4
airplane,soaring,5
airplane,steward,8
airplane,suspended,8
airplane,swoop,8
airplane,whiz,3
airplane,whoosh,8
also,additionally,29
also,blue,2
also,further,2
also,furthermore,40
also,however,7
also,ocean,2
also,or,13
also,other,13
also,same,2
also,still,3
also,therefore,4
also,too,20
also,yet,34
also,but,36
also,likewise,8
also,similarly,4
also,wave,2
also,additional,3
also,more,2
also,moreover,2
also,even,2
also,thus,2
also,as well,44
also,an,2
also,then,2
also,alternatively,15
also,otherwise,2
also,at,2
also,are,2
also,besides,40
also,both,3
also,except,2
also,instead,5
an,animal,20
an,ant,13
an,apple,18
an,article,11
an,elephant,15
an,in,4
an,or,3
an,another,10
an,antonym,3
an,any,9
an,at,8
an,other,2
an,anthem,3
an,banana,9
an,antique,11
an,jungle,2
an,nest,2
an,zebra,2
an,art,2
an,noun,2
an,one,2
an,orange,8
an,is,18
an,there,15
an,ha,2
an,are,3
an,it,10
an,question mark,2
an,vow,4
apple,crisp,27
apple,fruit,96
apple,red,62
apple,sweet,15
apple,color,5
apple,edible,2
apple,green,3
apple,juice,22
apple,juicy,6
apple,orchard,25
apple,taste,6
apple,tree,13
apple,yellow,2
apple,delicious,5
apple,cider,88
apple,harvest,2
apple,tart,3
apple,adam,35
apple,choice,2
apple,fruitful,2
apple,common,4
apple,ten,2
apple,sour,3
apple,vinegar,4
apple,extra,4
apple,brand,3
apple,fresh,6
apple,split,6
apple,compare,2
apple,noun,3
apple,or,6
apple,bite,14
apple,applesauce,13
apple,autumn,5
apple,reddish,3
apple,pear,5
apple,ripe,4
apple,b,5
apple,ban,41
apple,pluck,4
apple,forbidden,6
apple,produce,2
apple,mock,4
apple,both,2
apple,caramel,3
apple,bounty,11
apple,cain,6
apple,pod,9
apple,chomp,5
apple,slice,11
apple,cob,8
apple,dried,2
apple,maker,2
apple,currant,2
apple,e,2
apple,each,2
apple,eaten,2
apple,swift,4
apple,fallen,3
apple,frank,2
apple,fruity,22
apple,gala,57
apple,granny,9
apple,grove,2
apple,mashed,2
apple,hem,16
apple,i,16
apple,unripe,2
apple,ipod,27
apple,isaac,11
apple,juicer,7
apple,peel,30
apple,luscious,3
apple,ma,51
apple,mama,2
apple,mac,47
apple,producer,3
apple,stall,6
apple,pie,5
apple,newton,9
apple,nog,3
apple,pal,2
apple,par,3
apple,plural,3
apple,rotund,5
apple,procreate,3
apple,prod,4
apple,rind,17
apple,rut,3
apple,spineless,3
apple,tad,5
as,anal,16
as,anus,5
as,arsehole,2
as,asshole,17
as,assume,2
as,booty,32
as,butt,21
as,buttock,26
as,crack,2
as,dick,6
as,donkey,22
as,fart,4
as,fuck,8
as,hole,27
as,jacket,2
as,pain,5
as,painful,3
as,shit,4
as,smelly,2
as,cavity,2
as,feces,2
as,assault,7
as,cheek,3
as,pant,2
as,crotch,3
as,jackass,25
as,keyboard,2
as,mule,4
as,prick,2
as,vulva,3
as,stubborn,2
as,fucking,5
as,douche,3
as,smarta,8
as,bastard,2
as,bugger,3
as,kick out,2
as,faggot,3
as,rump,30
as,twat,18
as,wanker,4
association,connection,27
association,first,11
association,idea,8
association,input,4
association,key,2
association,link,13
association,list,2
association,memory,22
association,network,4
association,people,2
association,related,39
association,relation,4
association,relationship,13
association,synonym,3
association,thought,19
association,word,14
association,emotion,14
association,three,2
association,concept,3
association,communication,2
