src,tgt,wt
president,bush,90
membrane,cell,100
membrane,barrier,95
membrane,filter,4
membrane,lipid,44
membrane,permeability,2
membrane,protein,43
membrane,flexible,2
membrane,selective,8
pubes,body,13
pubes,hair,100
pubes,adolescence,44
pubes,adolescent,4
pubes,adult,17
pubes,genital,4
pubes,genitals,4
pubes,groin,14
pubes,growth,31
pubes,privacy,9
pubes,private,21
pubes,shaving,11
pubes,skin,11
pubes,grooming,2
pubes,shave,2
pubes,maturation,2
brush,bush,4
crop,bean,2
garden,bean,18
garden,bush,13
garden,carrot,2
authentic,naturally,19
bush,shrub,100
bush,hair,2
bush,leaf,5
bush,oval,3
bush,politics,5
bush,white house,4
bush,fire,2
bush,wildlife,2
bush,bushido,12
bush,bushy,2
bush,campaign,2
bush,foliage,2
bush,green,2
bush,hedge,9
bush,shaggy,2
bush,thicket,12
bush,pruning,2
organically,naturally,89
easily,naturally,29
vitamin,carrot,5
chili,bean,20
carrot,vegetable,57
carrot,orange,100
carrot,crunch,8
carrot,salad,63
carrot,cook,2
curry,bean,5
casserole,bean,3
coffee,bean,42
bean,canned,16
bean,legume,16
bean,lentil,19
bean,pinto,5
bean,pulse,9
bean,rice,23
bean,soup,61
bean,stew,3
bean,vegetable,5
bean,protein,36
bean,caffeine,4
bean,cooking,2
spontaneous,naturally,2
authentically,naturally,49
effortless,naturally,8
effortlessly,naturally,44
growth,naturally,2
instinctively,naturally,17
spontaneously,naturally,20
naturally,genuinely,6
naturally,organic,11
