cue,R1,R2,R3
a,additionally,furthermore,equally
a,also,too,addition
a,also,too,addition
a,also,too,addition
a,also,too,additionally
a,also,too,additionally
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,furthermore
a,also,too,likewise
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,an,the,one
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,equally,too,also
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,lone
a,one,single,solitary
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a,one,single,unit
a few,couple,some,few
a few,couple,some,few
a few,couple,some,few
a few,couple,some,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,couple,few
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,handful,some
a few,several,multiple,many
a few,several,multiple,many
a few,several,multiple,many
a few,several,multiple,many
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,several,some,handful
a few,some,several,couple
a little,small,little,few
a little,small,little,few
a little,small,little,few
a little,small,little,few
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,little,tiny
a little,small,quantity,little
a little,small,tiny,miniature
a little,small,tiny,miniature
a little,small,tiny,miniature
a little,small,tiny,miniature
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,small,tiny,short
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,some,tiny,little
a little,tiny,small,diminutive
a lot,abundance,plentiful,numerous
a lot,abundance,plentiful,numerous
a lot,abundance,plentiful,numerous
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,numerous,plentiful
a lot,many,plenty,
a lot,many,plenty,
a lot,many,plenty,numerous
a lot,many,plenty,numerous
a lot,many,plenty,numerous
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,
a lot,many,quantity,excess
a lot,much,plentiful,abundant
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
a lot,much,plenty,many
