cue,R1,R2,R3
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,,,
a,airplane,apple,ant
a,also,especially,furthermore
a,an,and,at
a,an,apple,afternoon
a,an,the,
a,and,,
a,and,about,
a,and,also,association
a,and,aspect,assume
a,and,but,
a,and,is,
a,apple,aardvark,abundance
a,apple,aardvark,ant
a,apple,afternoon,apricot
a,apple,airplane,
a,apple,airplane,
a,apple,animal,art
a,apple,annoying,anxious
a,apple,ant,
a,apple,apricot,
a,apple,apricot,
a,apple,apricot,
a,apple,apricot,
a,apple,apricot,
a,apple,apricot,
a,apple,apricot,antique
a,apple,apricot,apricot juice
a,apple,apricot,apron
a,apple,apricot,artichoke
a,apple,apricot,azure
a,apple,art,above
a,apple,art,ancient
a,apple,art,anthem
a,apple,art,antique
a,apple,artichoke,anemone
a,apple,artichoke,antique
a,apple,artichoke,asparagus
a,apple,artichoke,azalea
a,apple,as,ash
a,apple,as,assortmant
a,apple,as,assortmant
a,apple,as,assortmant
a,apple,as,assortmant
a,apple,assault,antique
a,apple,assemble,assistance
a,apple,assemble,assortmant
a,apple,assemble,assortmant
a,apple,assistant,advice
a,apple,assistant,algorithm
a,apple,assistant,art
a,apple,assistant,average
a,apple,assortmant,apricot
a,apple,assortmant,assemble
a,apple,banana,orange
a,apple,banana,orange
a,apple,banana,orange
a,apple,banana,orange
a,apple,banana,strawberry
a,apple,banana,strawberry
a,apple,carrot,strawberry
a,apple,fruit,tree
a,apple,orange,banana
a,apple,orange,banana
a,apple,strawberry,sugar
a,as,assemble,ass
a,association,,
a,association,semantic,meaning
a,assume,aspect,ascertain
a,banana,coconut,
a,barking,puppy,leash
a,blue,sky,tree
a,car,vehicle,speed
a,dog,cat,tree
a,flower,,
a,fruit,red,healthy
a,heart,passion,
a,in,to,
a,is,an,
a,is,are,
a,is,wa,
a,joinassocword associations,,
a,ocean,,
a,sweet,fruit,healthy
a,table,chair,desk
a,table,chair,lamp
a,the,and,apple
a,wave,blue,deep
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,,,
a few,10,,
a few,10,12,14
a few,10,15,
a few,10,15,
a few,10,20,
a few,10,25,
a few,10,more,fewer
a few,12,84,56
a few,apple,banana,orange
a few,blue,ocean,wave
a few,few,,
a few,few,handful,several
a few,few,number,
a few,few,number,amount
a few,few,number,quantity
a few,few,number,quantity
a few,few,number,quantity
a few,few,number,quantity
a few,few,several,
a few,few,several,quantity
a few,few,several,some
a few,few,several,some
a few,few,some,
a few,few,some,
a few,few,some,several
a few,few,thing,word
a few,few,word,thought
a few,first,second,
a few,handful,several,numerous
a few,many,several,
a few,many,several,couple
a few,many,several,couple
a few,many,several,numerous
a few,many,some,several
a few,not many,limited,scarce
a few,not many,limited,several
a few,number,count,amount
a few,number,count,several
a few,number,letter,symbol
a few,number,more,le
a few,number,some,few
a few,ocean,deep,blue
a few,ocean,wave,beach
a few,ocean,wave,sandy
a few,people,may,like
a few,several,,
a few,several,couple,handful
a few,several,few,
a few,several,number,quantity
a few,several,number,quantity
a few,several,number of,many
a few,several,some,
a few,several,some,
a few,several,some,many
a few,several,some,numerous
a few,small,few,number
a few,small,fewer,number
a few,small,number,amount
a few,small,number,few
a few,small,number,quantity
a few,small,number,quantity
a few,small,quantity,several
a few,some,additional,few
a few,some,several,couple
a few,some,several,number
a few,sun,sand,wave
a few,three,four,five
a few,water,beach,sun
a few,word,,
a few,word,associate,separated
a few,word1,word2,
a little,,,
a little,,,
a little,,,
a little,big,little,heart
a little,big,little,small
a little,bird,house,flower
