cue,R1,R2,R3
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
conceal,hide,secret,mask
is,be,am,are
is,be,exist,am
is,be,exist,am
is,be,exist,am
is,be,exist,am
is,be,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,exist,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,am
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,existence,present
is,being,exists,am
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,remain
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,delay,wait
linger,stay,remain,
linger,stay,remain,
linger,stay,remain,
linger,stay,remain,delay
linger,stay,remain,delay
linger,stay,remain,time
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,remain,wait
linger,stay,time,
linger,stay,time,
linger,stay,time,fade
linger,stay,time,moment
linger,stay,time,moment
linger,stay,time,slow
linger,stay,time,slow
linger,stay,time,slow
linger,stay,time,slow
linger,stay,time,slow
linger,stay,time,slow
linger,stay,time,wait
linger,stay,time,wait
linger,stay,time  wait,
linger,stay,time  wait,
linger,stay,time  wait,
linger,stay,wait,
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
linger,stay,wait,remain
picture,color,memory,frame
picture,color,memory,frame
picture,color,memory,frame
picture,color,memory,frame
picture,frame,memory,color
picture,frame,memory,color
picture,frame,memory,color
picture,frame,memory,color
picture,frame,memory,color
picture,memory,camera,album
picture,memory,camera,album
picture,memory,camera,album
picture,memory,camera,album
picture,memory,camera,album
picture,memory,camera,album
picture,memory,camera,color
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,frame
picture,memory,camera,gallery
picture,memory,frame,camera
picture,memory,frame,camera
picture,memory,frame,camera
picture,memory,frame,color
picture,memory,frame,color
picture,memory,frame,color
picture,memory,frame,color
picture,memory,frame,color
picture,memory,frame,photography
picture,memory,frame,photography
picture,memory,frame,photography
picture,memory,photo,frame
picture,photo,frame,memory
picture,photo,frame,memory
picture,photo,frame,memory
picture,photo,frame,memory
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
picture,photo,memory,frame
