"","id","participantID","created_at","age","nativeLanguage","gender","education","city","country","section","cue","R1Raw","R2Raw","R3Raw","R1","R2","R3"
"1",1500428,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","there","position","place","point","position","place","point"
"2",1500426,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","true","honest","fact","indisputable","honest","fact","indisputable"
"3",1500424,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","beat","drum","policeman","beatnik","drum","policeman","beatnik"
"4",1500438,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","like","affection","simile","compare","affection","simile","compare"
"5",1500430,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","telephone","receiver","hamdset","wires","receiver","handset","wires"
"6",1500434,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","beauty","awe","pretty","longing","awe","pretty","longing"
"7",1500435,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","Mrs","wife","married","strong","wife","married","strong"
"8",1500439,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","test","grade","trial","exam","grade","trial","exam"
"9",1500432,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","waste","trash","careless","bin","trash","careless","bin"
"10",1500433,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","language","speech","study","communicate","speech","study","communicate"
"11",1500436,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","post","guard duty","mail","fence","guard duty","mail","fence"
"12",1500427,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","wonder","awe","ponder","muse","awe","ponder","muse"
"13",1500429,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","dad","father","love","strong","father","love","strong"
"14",1500431,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","honest","true","just","upfront","true","just","upfront"
"15",1500437,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","separate","apart","split","push away","apart","split","push away"
"16",1500422,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","only","just","limit","singular","just","limit","singular"
"17",1500423,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","committee","group","meeting","business","group","meeting","business"
"18",1500425,130332,"2018-01-07 04:29:38",61,"United States","Ma",5,"Pepperell","United States","seed","district","area","bounf","boundary","area","bound","boundary"
"19",1500408,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","pound","cake","pavement","slam","cake","pavement","slam"
"20",1500414,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","traffic","car","delay","grey","car","delay","grey"
"21",1500413,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","figure","hidden","mathematics","drawing","hidden","mathematics","drawing"
"22",1500411,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","difficult","hard","laborious","frustrating","hard","laborious","frustrating"
"23",1500418,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","place","location","building","activity","location","building","activity"
"24",1500409,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","future","nuclear","past","present","nuclear","past","present"
"25",1500404,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","thou","thee","thy","though","thee","thy","though"
"26",1500406,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","vote","american","politics","democracy","American","politics","democracy"
"27",1500420,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","take","give","reach","stolen","give","reach","stolen"
"28",1500417,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","ever","forever","never","shrek","forever","never","shriek"
"29",1500405,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","unless","we","less","No more responses","we","less","No more responses"
"30",1500410,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","scheme","plan","villain","forethought","plan","villain","forethought"
"31",1500412,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","last","first","prevail","misery","first","prevail","misery"
"32",1500407,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","research","education","science","work","education","science","work"
"33",1500421,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","press","apple","juice","paper","apple","juice","paper"
"34",1500416,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","run","walk","breathe","fast","walk","breathe","fast"
"35",1500419,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","school","stident","child","playground","student","child","playground"
"36",1500415,130331,"2018-01-06 19:36:42",25,"United States","X",4,"Seattle","United States","seed","teach","student","teacher","books","student","teacher","books"
"37",1500392,130330,"2018-01-06 10:10:01",59,"New Zealand","Fe",3,"Ashburton","New Zealand","seed","apply","do","No more responses","No more responses","do","No more responses","No more responses"
"38",1500397,130330,"2018-01-06 10:10:01",59,"New Zealand","Fe",3,"Ashburton","New Zealand","seed","thirteen","number","No more responses","No more responses","number","No more responses","No more responses"
"39",1500400,130330,"2018-01-06 10:10:01",59,"New Zealand","Fe",3,"Ashburton","New Zealand","seed","north","pole","No more responses","No more responses","pole","No more responses","No more responses"
