"","cue","coverage","H","unknown","N"
"1","a",91.7525773195876,3.05780649472872,3,100
"2","aardvark",91.5789473684211,2.52883819533325,5,100
"3","abacus",92.5531914893617,2.86791161262107,6,100
"4","abandon",94,2.63622711517557,0,100
"5","abbey",88.7755102040816,2.96788413464434,2,100
"6","abbreviation",70.1030927835051,2.42548503734708,3,100
"7","abdicate",84.7826086956522,3.15902644013511,8,100
"8","abdomen",92.9292929292929,2.22287812670833,1,100
"9","abduct",93.75,2.50445206660921,4,100
"10","abduction",92.4731182795699,2.50768269907821,7,100
"11","Abel",81.3186813186813,1.82785094171468,9,100
"12","abhor",92.0454545454545,1.55680490263242,12,100
"13","abide",92.4731182795699,3.20932259476629,7,100
"14","ability",91.6666666666667,3.46039623174374,4,100
"15","able",80.4123711340206,2.87860600009283,3,100
"16","abnormal",93.8775510204082,2.8689012347957,2,100
"17","abode",98.8372093023256,1.68496529864688,14,100
"18","Aboriginal",92.7835051546392,2.39010142097662,3,100
"19","aborigine",89.4736842105263,2.0900495847846,5,100
"20","abortion",93,3.22710469544635,0,100
"21","about",93.8775510204082,3.490990014871,2,100
"22","above",99,2.37987144465837,0,100
"23","abrasive",84.2105263157895,2.96275719547994,5,100
"24","abroad",96,3.02607262358964,0,100
"25","abrupt",93.9393939393939,2.75936086793482,1,100
"26","abs",83.6734693877551,3.39886975259514,2,100
"27","absence",85.5670103092783,3.40300497887813,3,100
"28","absent",94.7916666666667,3.05503719406524,4,100
"29","absolute",95.959595959596,3.49252804107654,1,100
"30","absolutely",94.9494949494949,3.06251330519393,1,100
"31","absorb",81.4432989690722,3.28138224801777,3,100
"32","absorbent",85.8585858585859,2.84131209531714,1,100
"33","abstain",88.8888888888889,3.45880175656193,1,100
"34","abstract",88.7755102040816,3.40006866863707,2,100
"35","absurd",90.8163265306122,2.70515887802828,2,100
"36","abundance",95.7894736842105,3.29078578821475,5,100
"37","abundant",93.8775510204082,3.22978411961637,2,100
"38","abuse",95,3.32530591416283,0,100
"39","abusive",92,3.6826653844005,0,100
"40","academia",93.75,2.65339847060773,4,100
"41","academic",96,3.18139236230056,0,100
"42","academy",85,2.70420177967447,0,100
"43","accelerate",95,2.48047081207118,0,100
"44","acceleration",96,2.21677869992886,0,100
"45","accent",85.7142857142857,3.56238068806491,2,100
"46","accept",95.959595959596,3.50241871570753,1,100
"47","acceptable",87.5,3.31452245437539,4,100
"48","acceptance",90.9090909090909,3.80672893329853,1,100
"49","accepted",70.7070707070707,3.95976946326358,1,100
"50","access",80.6122448979592,3.5799938761742,2,100
"51","accessory",88,3.42460346795284,0,100
"52","accident",93,2.9768561481934,0,100
