"","cue","coverage","H","unknown","xR2","xR3","N"
"1","a",91.8518518518518,4.04579958172268,3,8,5,300
"2","aardvark",87.732342007435,3.97076797164059,5,3,10,300
"3","abacus",84.4202898550725,3.71956332261281,6,0,6,300
"4","abandon",89.9641577060932,3.9893804407623,0,5,11,300
"5","abbey",83.6879432624114,4.02764437600782,2,4,4,300
"6","abbreviation",68.6792452830189,4.15752293144859,3,6,14,300
"7","abdicate",83.9506172839506,3.81597804635943,8,11,11,300
"8","abdomen",88.1533101045296,3.6966251469016,1,1,8,300
"9","abduct",93.609022556391,3.57153089710056,4,6,10,300
"10","abduction",87.9032258064516,3.87356811798228,7,12,7,300
"11","Abel",68.6192468619247,3.28456743182987,9,12,10,300
"12","abhor",87.280701754386,3.17482973424744,12,12,12,300
"13","abide",89.4273127753304,4.08587038111367,7,16,20,300
"14","ability",93.1558935361217,4.26159398501884,4,5,15,300
"15","able",81.8518518518518,3.83752307900362,3,5,11,300
"16","abnormal",89.9641577060932,3.93004338080374,2,2,11,300
"17","abode",93.6254980079681,3.16324316253595,14,1,5,300
"18","Aboriginal",84.8375451263538,3.80695284052934,3,3,8,300
"19","aborigine",86.6666666666667,3.43348413825731,5,1,13,300
"20","abortion",88.8111888111888,4.20729095227975,0,6,2,300
"21","about",88.0597014925373,4.2886561577224,2,6,14,300
"22","above",95.53264604811,3.76781483889428,0,1,7,300
"23","abrasive",82.6714801444043,4.18950451809186,5,1,6,300
"24","abroad",93.2659932659933,3.95769186754163,0,0,3,300
"25","abrupt",90.8771929824562,3.764513111566,1,3,6,300
"26","abs",82.2916666666667,4.06279541824979,2,1,4,300
"27","absence",86.0294117647059,4.16577936965985,3,4,11,300
"28","absent",88.086642599278,3.93993622894971,4,0,11,300
"29","absolute",90.9090909090909,4.21207126860233,1,0,11,300
"30","absolutely",89.8550724637681,4.03702951088384,1,4,13,300
"31","absorb",87.6363636363636,4.18068920786502,3,3,10,300
"32","absorbent",86.1702127659574,3.80306001970436,1,3,9,300
"33","abstain",85.663082437276,4.43778488305419,1,4,10,300
"34","abstract",85.4545454545455,4.48154720267239,2,5,9,300
"35","absurd",85.7651245551601,3.8340982378082,2,2,9,300
"36","abundance",92.7272727272727,4.26297655182197,5,3,4,300
"37","abundant",90.1818181818182,4.33503027910142,2,5,9,300
"38","abuse",92.4657534246575,4.2866586069996,0,0,8,300
"39","abusive",90.7749077490775,4.60677983655526,0,9,11,300
"40","academia",90.3225806451613,3.79124799838316,4,0,9,300
"41","academic",92.1501706484642,4.19641614377847,0,1,5,300
"42","academy",85.0847457627119,4.00546964633579,0,1,3,300
"43","accelerate",92.4137931034483,3.39668423045923,0,3,4,300
"44","acceleration",92.8327645051195,3.30067919029214,0,1,5,300
"45","accent",84.965034965035,4.49479490335432,2,2,4,300
"46","accept",92.831541218638,4.32648839839235,1,2,14,300
"47","acceptable",87.1794871794872,4.36208626705043,4,3,9,300
"48","acceptance",86.1818181818182,4.69253206577076,1,5,12,300
"49","accepted",68.9530685920578,4.77499100173987,1,5,10,300
"50","access",83.0882352941177,4.44028499625076,2,5,12,300
"51","accessory",87.8378378378378,4.26179393607988,0,0,4,300
"52","accident",89.0784982935154,4.18281110699055,0,1,5,300
"53","accompany",89.5910780669145,4.15878974269845,5,3,10,300
"54","accomplish",95.4545454545455,3.93797163966264,1,1,9,300
"55","accomplished",84.3416370106762,4.53764702605068,3,2,6,300
"56","accomplishment",91.5129151291513,4.00152880118864,3,4,12,300
"57","accord",76.6798418972332,3.90016804489719,9,4,12,300
"58","accordion",85.958904109589,4.09152419990222,0,1,6,300
"59","account",90,4.0614568666168,0,2,6,300
"60","accountant",89.0034364261168,3.93767828114337,2,0,3,300
"61","accounting",88.1944444444444,4.17850620412336,1,1,7,300
"62","accumulate",92.7083333333333,3.95196640642252,0,2,8,300
"63","accuracy",89.3992932862191,4.28220046802795,2,2,7,300
"64","accurate",92.7586206896552,3.89616713846204,0,2,6,300
"65","accusation",88.2142857142857,4.27538511832272,1,5,7,300
"66","accuse",87.0036101083032,4.4345828009414,1,4,12,300
"67","ace",89.7526501766784,4.10601685527635,2,3,5,300
"68","ache",99.3079584775086,3.4025874782806,2,1,3,300
"69","achieve",92.6573426573427,4.08599794944313,0,3,8,300
"70","achievement",94.4444444444444,4.27203289407764,0,2,8,300
"71","achiever",82.3754789272031,4.37394385121928,1,12,12,300
